"Director_ID","Director"
202,"Jae-young Kwak"
287,"Lars von Trier"
541,"Yilmaz Erdogan"
409,"Richard Kelly"
446,"Satoshi Kon"
525,"Walter Salles"
494,"Thomas Jahn"
49,"Billy Bob Thornton"
341,"Mike Leigh"
304,"Mamoru Oshii"
184,"Henry Selick"
180,"Harold Ramis"
483,"Taylor Hackford"
311,"Martin Brest"
435,"Ron Clements"
153,"Gary Trousdale"
279,"Kevin Costner"
462,"Spike Lee"
45,"Barry Levinson"
273,"Katsuhiro Ôtomo"
295,"Louis Malle"
405,"Richard Attenborough"
178,"Hal Ashby"
535,"Woody Allen"
326,"Mel Brooks"
146,"Franklin J. Schaffner"
528,"William Friedkin"
363,"Norman Jewison"
48,"Bernardo Bertolucci"
343,"Mike Nichols"
428,"Robert Wise"
219,"Jean-Luc Godard"
425,"Robert Rossen"
189,"Howard Hawks"
372,"Otto Preminger"
406,"Richard Brooks"
19,"Alexander Mackendrick"
78,"Charles Laughton"
355,"Nicholas Ray"
422,"Robert Hamer"
201,"Jacques Tourneur"
523,"W.S. Van Dyke"
294,"Lewis Milestone"
451,"Sergei M. Eisenstein"
403,"Rian Johnson"
347,"Mukesh Chhabra"
186,"Hirokazu Koreeda"
362,"Noah Baumbach"
297,"Luca Guadagnino"
275,"Ken Loach"
479,"Taika Waititi"
321,"Matt Ross"
237,"John Carney"
94,"Dan Gilroy"
197,"J.J. Abrams"
337,"Michel Hazanavicius"
119,"Doug Liman"
332,"Michael Haneke"
200,"Jacques Audiard"
120,"Duncan Jones"
507,"Tomas Alfredson"
353,"Neill Blomkamp"
191,"Imtiaz Ali"
89,"Cristian Mungiu"
413,"Richard Schenkman"
481,"Tarsem Singh"
34,"Ang Lee"
83,"Christophe Barratier"
253,"Jon Favreau"
121,"Edgar Wright"
134,"Fatih Akin"
21,"Alfonso Cuarón"
381,"Pedro Almodóvar"
96,"Danis Tanovic"
456,"Shin'ichirô Watanabe"
132,"Fabián Bielinsky"
69,"Cameron Crowe"
545,"Yoshifumi Kondô"
289,"Lee Tamahori"
511,"Tony Scott"
544,"Yoshiaki Kawajiri"
53,"Bob Clark"
244,"John Landis"
54,"Bob Fosse"
158,"George A. Romero"
12,"Alan J. Pakula"
16,"Alejandro Jodorowsky"
442,"Sam Peckinpah"
36,"Anthony Harvey"
240,"John Frankenheimer"
338,"Michelangelo Antonioni"
11,"Alain Resnais"
74,"Cecil B. DeMille"
147,"Fred Zinnemann"
183,"Henry Koster"
164,"George Seaton"
159,"George Cukor"
444,"Sam Wood"
329,"Merian C. Cooper"
500,"Tod Browning"
98,"Darius Marder"
373,"Paolo Genovese"
493,"Theodore Melfi"
377,"Paul King"
4,"Abhishek Chaubey"
512,"Travis Knight"
277,"Kenneth Lonergan"
316,"Martin Zandvliet"
150,"Gareth Edwards"
173,"Greta Gerwig"
118,"Dorota Kobiela"
323,"Matthew Warchus"
374,"Paolo Sorrentino"
415,"Ritesh Batra"
457,"Shoojit Sircar"
116,"Don Hall"
407,"Richard Curtis"
154,"Gauri Shinde"
264,"Josh Cooley"
7,"Adam McKay"
492,"Tetsuya Nakashima"
223,"Jee-woon Kim"
226,"Jeong-beom Lee"
130,"F. Gary Gray"
188,"Hong-jin Na"
358,"Niels Arden Oplev"
2,"Aaron Sorkin"
108,"David O. Russell"
391,"Pierre Morel"
308,"Mark Herman"
232,"Joe Wright"
357,"Nicolas Winding Refn"
199,"Jaco Van Dormael"
254,"Jonathan Dayton"
538,"Yash Chopra"
25,"Anders Thomas Jensen"
432,"Roger Donaldson"
339,"Mikael Håfström"
356,"Nick Cassavetes"
299,"Lukas Moodysson"
478,"Sylvain Chomet"
281,"Kevin Reynolds"
52,"Boaz Yakin"
514,"Troy Duffy"
231,"Joe Johnston"
27,"Andrew Adamson"
480,"Takeshi Kitano"
30,"Andrew Niccol"
162,"George P. Cosmatos"
107,"David Mickey Evans"
208,"James Ivory"
28,"Andrew Davis"
421,"Robert De Niro"
278,"Kevin Altieri"
251,"John Woo"
229,"Jim Jarmusch"
249,"John Singleton"
382,"Penny Marshall"
443,"Sam Raimi"
242,"John Hughes"
408,"Richard Donner"
433,"Roland Joffé"
195,"Ivan Reitman"
389,"Philip Kaufman"
419,"Robert Benton"
488,"Terrence Malick"
402,"René Laloux"
328,"Mel Stuart"
248,"John Schlesinger"
487,"Terence Young"
42,"Arthur Penn"
426,"Robert Stevenson"
274,"Ken Annakin"
198,"Jack Clayton"
215,"James Whale"
292,"Leo McCarey"
140,"Francis Lee"
104,"David Leitch"
484,"Taylor Sheridan"
258,"Jordan Peele"
84,"Christopher McQuarrie"
179,"Hannes Holm"
225,"Jemaine Clement"
213,"James Simone"
211,"James Marsh"
322,"Matthew Vaughn"
263,"Josh Boone"
22,"Alfonso Gomez-Rejon"
3,"Abdellatif Kechiche"
5,"Abhishek Kapoor"
136,"Felix van Groeningen"
20,"Alexander Payne"
404,"Rich Moore"
309,"Mark Osborne"
85,"Christopher Miller"
73,"Cary Joji Fukunaga"
46,"Ben Affleck"
307,"Marc Webb"
458,"Shûsuke Kaneko"
454,"Shane Meadows"
17,"Alex Garland"
477,"Susanne Bier"
280,"Kevin Macdonald"
378,"Paul McGuigan"
82,"Christian Carion"
39,"Anton Corbijn"
350,"Nathan Greno"
380,"Paul Verhoeven"
376,"Paul Haggis"
468,"Stephen Chow"
58,"Brad Anderson"
460,"Sofia Coppola"
342,"Mike Newell"
387,"Peter Mullan"
532,"Wolfgang Becker"
227,"Jessie Nelson"
469,"Stephen Daldry"
236,"John Cameron Mitchell"
472,"Steven Soderbergh"
55,"Bob Gale"
513,"Trey Parker"
340,"Mike Judge"
503,"Todd Solondz"
38,"Antoine Fuqua"
209,"James L. Brooks"
141,"Francis Veber"
447,"Scott Hicks"
172,"Gregory Hoblit"
276,"Kenneth Branagh"
335,"Michael Radford"
282,"Kevin Smith"
418,"Robert Altman"
63,"Brian Henson"
205,"James Foley"
252,"Jon Avnet"
165,"George Sluizer"
64,"Bruce Robinson"
218,"Jean-Jacques Annaud"
354,"Nicholas Meyer"
486,"Ted Kotcheff"
424,"Robert Redford"
228,"Jim Abrahams"
262,"Joseph Sargent"
420,"Robert Clouse"
235,"John Boorman"
117,"Don Siegel"
62,"Brian G. Hutton"
157,"Gene Saks"
91,"Cy Endfield"
176,"Guy Hamilton"
196,"J. Lee Thompson"
167,"Georges Franju"
79,"Charles Vidor"
203,"James Algar"
501,"Todd Haynes"
33,"Aneesh Chaganty"
448,"Sean Baker"
515,"Tyler Nilson"
450,"Sebastian Schipper"
113,"Deniz Gamze Ergüven"
260,"Joseph Kosinski"
439,"Ryan Coogler"
106,"David Mackenzie"
470,"Stephen Frears"
320,"Matt Reeves"
100,"David Ayer"
187,"Hiromasa Yonebayashi"
60,"Bradley Cooper"
390,"Pierre Coffin"
256,"Jonathan Levine"
95,"Daniel Monzón"
47,"Bennett Miller"
438,"Ruben Fleischer"
114,"Dennis Gansel"
246,"John Lee Hancock"
101,"David Cronenberg"
367,"Olivier Dahan"
437,"Ronny Yu"
352,"Neil Burger"
546,"Zack Snyder"
214,"James Wan"
80,"Charlie Kaufman"
171,"Gregg Araki"
537,"Yann Samuell"
306,"Marc Forster"
126,"Eric Bress"
284,"Kinji Fukasaku"
81,"Chris Columbus"
485,"Ted Demme"
317,"Mary Harron"
506,"Tom Tykwer"
509,"Tony Bancroft"
18,"Alex Proyas"
234,"Joel Schumacher"
257,"Jonathan Lynn"
